"date","geography","geography code","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"2011","E00061874","E00061874","Total",185,51,25,26,126,15,82,31,33,18,17,11,6,0,12,9,3,8,3,0,1,4
"2011","E00061875","E00061875","Total",167,37,24,13,126,32,83,36,35,12,4,1,3,0,7,3,4,4,2,0,0,2
"2011","E00061877","E00061877","Total",128,23,11,12,102,11,64,23,25,16,10,7,3,0,17,8,9,3,0,0,0,3
"2011","E00061989","E00061989","Total",140,19,11,8,115,20,80,42,29,9,9,4,5,0,6,5,1,6,3,0,0,3
"2011","E00061990","E00061990","Total",142,29,17,12,108,24,61,22,32,7,15,8,5,2,8,1,7,5,2,0,1,2
"2011","E00061993","E00061993","Total",85,25,11,14,57,6,32,16,14,2,12,8,4,0,7,4,3,3,3,0,0,0
"2011","E00061999","E00061999","Total",114,28,11,17,82,20,51,20,20,11,6,3,2,1,5,3,2,4,2,0,0,2
"2011","E00062000","E00062000","Total",99,16,4,12,79,8,51,28,20,3,12,6,6,0,8,5,3,4,3,0,0,1
"2011","E00062001","E00062001","Total",122,38,16,22,82,9,39,14,15,10,19,10,8,1,15,9,6,2,1,0,0,1
"2011","E00062002","E00062002","Total",155,32,16,16,116,6,71,22,35,14,17,9,7,1,22,16,6,7,3,0,0,4
"2011","E00062003","E00062003","Total",119,30,16,14,80,5,30,9,12,9,11,5,6,0,34,19,15,9,6,0,0,3
"2011","E00061995","E00061995","Total",120,30,8,22,86,12,53,26,23,4,16,12,4,0,5,3,2,4,0,0,0,4
"2011","E00174145","E00174145","Total",131,16,4,12,108,4,82,27,45,10,13,9,4,0,9,5,4,7,3,0,1,3
"2011","E00174146","E00174146","Total",133,8,1,7,120,4,93,28,56,9,15,6,8,1,8,7,1,5,4,0,1,0
"2011","E00174147","E00174147","Total",111,7,3,4,102,6,82,36,37,9,10,5,5,0,4,2,2,2,1,0,0,1
"2011","E00174188","E00174188","Total",102,3,0,3,91,6,73,29,38,6,9,6,3,0,3,2,1,8,5,0,0,3
"2011","E00061991","E00061991","Total",152,23,12,11,122,26,86,38,23,25,7,3,3,1,3,1,2,7,3,0,0,4
"2011","E00061992","E00061992","Total",121,16,8,8,102,10,71,34,23,14,9,6,1,2,12,6,6,3,0,0,0,3
"2011","E00061997","E00061997","Total",119,8,3,5,107,16,78,35,25,18,4,2,2,0,9,2,7,4,2,0,0,2
"2011","E00061998","E00061998","Total",134,20,3,17,103,11,70,31,26,13,12,9,3,0,10,7,3,11,5,0,0,6
"2011","E00174185","E00174185","Total",104,6,2,4,93,8,69,25,35,9,10,7,2,1,6,3,3,5,3,0,0,2
"2011","E00061580","E00061580","Total",120,16,8,8,96,21,68,35,16,17,5,4,0,1,2,0,2,8,4,1,0,3
"2011","E00061583","E00061583","Total",142,42,29,13,96,23,57,25,17,15,8,3,4,1,8,6,2,4,3,0,0,1
"2011","E00061597","E00061597","Total",121,15,4,11,100,10,62,21,22,19,15,7,6,2,13,7,6,6,4,0,0,2
"2011","E00061598","E00061598","Total",124,26,5,21,93,9,56,17,27,12,15,8,6,1,13,7,6,5,1,0,0,4
"2011","E00061599","E00061599","Total",133,16,6,10,112,16,78,34,24,20,7,4,2,1,11,4,7,5,4,0,0,1
"2011","E00061581","E00061581","Total",127,35,17,18,90,11,52,19,26,7,13,7,5,1,14,9,5,2,1,0,0,1
"2011","E00061582","E00061582","Total",225,30,8,22,183,9,120,37,70,13,36,25,10,1,18,12,6,12,6,0,0,6
"2011","E00061584","E00061584","Total",132,32,14,18,92,17,60,22,34,4,7,4,2,1,8,4,4,8,4,0,1,3
"2011","E00061585","E00061585","Total",138,37,20,17,97,22,60,25,27,8,8,4,3,1,7,6,1,4,2,0,0,2
"2011","E00061587","E00061587","Total",128,35,21,14,92,8,64,27,33,4,14,8,5,1,6,5,1,1,0,0,0,1
"2011","E00061579","E00061579","Total",135,50,34,16,82,29,33,22,7,4,12,5,6,1,8,4,4,3,1,0,0,2
"2011","E00061586","E00061586","Total",188,69,18,51,109,2,59,23,26,10,40,30,8,2,8,5,3,10,2,0,0,8
"2011","E00061589","E00061589","Total",98,18,10,8,74,20,48,18,16,14,2,2,0,0,4,3,1,6,3,0,0,3
"2011","E00061590","E00061590","Total",128,27,14,13,98,23,63,31,25,7,4,4,0,0,8,3,5,3,1,0,0,2
"2011","E00061591","E00061591","Total",134,34,12,22,96,11,57,28,18,11,12,8,4,0,16,8,8,4,0,0,0,4
"2011","E00061588","E00061588","Total",92,54,49,5,37,20,16,10,3,3,1,0,1,0,0,0,0,1,0,0,1,0
"2011","E00061592","E00061592","Total",112,39,19,20,68,12,39,26,7,6,9,6,3,0,8,5,3,5,4,0,0,1
"2011","E00061593","E00061593","Total",138,70,50,20,65,25,24,16,4,4,7,6,1,0,9,7,2,3,1,0,1,1
"2011","E00061594","E00061594","Total",141,88,65,23,52,17,26,15,4,7,6,3,3,0,3,2,1,1,0,0,1,0
"2011","E00061595","E00061595","Total",116,27,22,5,84,15,47,20,15,12,8,3,4,1,14,7,7,5,2,0,0,3
